GUID,NetVolume (m³),NetWeight (kg),OuterSurfaceArea (mm²),Area (mm²),Volume (m³),Area per tons (mm²),Net surface area (mm²),Volume (m³).1,Weight (kg),CenterOfGravityX (mm),CenterOfGravityZ (mm),CenterOfGravityY (mm),Height (mm),Length (mm),Width (mm),AnomalyFlag,Scores
0Sbc7snVbF6QiFxb8F5hsJ,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,2783.500103527003,18499.99928474516,1629.499999993511,100.0,360.0,8,1,0.1941597052615642
2M55JPhkjCTgGRSnRySAbZ,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,2783.4994019270384,18499.99928474516,2837.4999994410687,100.0,360.0,8,1,0.1925411376289
33Fwg1xgvFaPwmvlURkq4n,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,1683.4998991450775,18499.99928474516,2837.4999994410687,100.0,360.0,8,1,0.1922497978163324
3BbsMI2_v1pwlgtr_xrQ5B,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4471.184354516511,-4.184353636498997,4417.184949308753,100.0,360.0,8,1,0.1336615060867848
16Dq8RfZL4eeU3_GF4CLQ9,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,49.81505062625943,-4.184353636498997,4471.184354516511,100.0,360.0,8,1,0.1314128869139551
1tqC06bSr8WwBaoFzOhJrV,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,-4.184353636498997,-4.184353636498997,49.81505062625943,100.0,360.0,8,1,0.1329381806443137
2fcCOw8Br8yO0IxGSFxjpC,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4471.184354516511,-4.184353636498997,49.81505062625943,100.0,360.0,8,1,0.1304573511365326
2_qu11Wc5B$PIweFQlKtWE,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,-4.184353636498997,-4.184353636498997,4417.184949308753,100.0,360.0,8,1,0.1317730870047653
3notIippLDR90SbiGL2392,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,49.81505062625943,-4.184353636498997,-4.184353636498997,100.0,360.0,8,1,0.1348509921263772
3tQdVR$dT3jB9IXUN8jeXX,0.0002879965673924,0.0,0.0,79359.12277814039,0.0002879965673924,35103000.0,79000.0,0.0,2.27,4417.184949308753,-4.184353636498997,4471.184354516511,100.0,360.0,8,1,0.1336615060867848
